origin,destination,count
ABE,ATL,958
ABE,BNA,67
ABE,CLT,1041
ABE,DTW,1003
ABE,FLL,55
ABE,MYR,103
ABE,ORD,858
ABE,PGD,180
ABE,PIE,186
ABE,SAV,51
ABE,SFB,512
ABI,DFW,2272
ABQ,ATL,878
ABQ,AUS,378
ABQ,BWI,509
ABQ,DAL,1707
ABQ,DEN,2482
ABQ,DFW,2751
ABQ,HOU,1049
ABQ,IAH,1449
ABQ,JFK,299
ABQ,LAS,1388
ABQ,LAX,909
ABQ,MCI,343
ABQ,MCO,60
ABQ,MDW,612
ABQ,MSP,213
ABQ,OAK,846
ABQ,ORD,1064
ABQ,PDX,246
ABQ,PHX,3507
ABQ,SAN,968
ABQ,SAT,4
ABQ,SEA,553
ABQ,SFO,903
ABQ,SJC,172
ABQ,SLC,441
ABR,MSP,750
ABY,ATL,1005
ACK,BOS,186
ACK,CLT,13
ACK,DCA,185
ACK,HPN,82
ACK,JFK,475
ACK,LGA,254
ACT,DFW,1800
ACV,DEN,208
ACV,LAX,577
ACV,SFO,1228
ACY,ATL,176
ACY,FLL,805
ACY,MCO,727
ACY,MYR,358
ACY,PBI,168
ACY,RSW,516
ACY,TPA,364
ADK,ANC,104
ADQ,ANC,641
AEX,ATL,1340
AEX,DFW,1063
AEX,IAH,868
AGS,ATL,2857
AGS,CLT,1554
AGS,DCA,14
AGS,DFW,309
AGS,LGA,16
AGS,MIA,8
AGS,ORD,8
AGS,PHL,2
AKN,ANC,61
ALB,ATL,1106
ALB,BWI,1803
ALB,CLT,1069
ALB,DCA,1099
ALB,DEN,229
ALB,DTW,1046
ALB,EWR,127
ALB,FLL,537
ALB,IAD,127
ALB,MCO,1147
ALB,MDW,712
ALB,MSP,263
ALB,MYR,43
ALB,ORD,2083
ALB,PGD,180
ALB,PHL,90
ALB,PIE,163
ALB,RDU,84
ALB,RSW,97
ALB,SAV,52
ALB,SFB,161
ALB,TPA,350
ALO,ORD,700
AMA,DAL,1351
AMA,DEN,10
AMA,DFW,2382
AMA,HOU,13
AMA,IAH,967
AMA,LAS,365
AMA,PHX,122
ANC,ADK,104
ANC,ADQ,641
ANC,AKN,61
ANC,ATL,112
ANC,BET,827
ANC,BLI,31
ANC,BRW,1
ANC,CDV,361
ANC,DEN,504
ANC,DFW,139
ANC,DLG,82
ANC,EWR,81
ANC,FAI,2208
ANC,HNL,365
ANC,IAH,89
